Id,District
401190101011000,1
401190101011001,1
401190101011002,1
401190101011003,1
401190101011004,1
401190101011005,1
401190101011006,1
401190101011007,1
401190101011013,1
401190101011017,1
401190101011018,1
401190101011020,1
401190101011021,1
401190110011000,1
401190110011001,1
401190110011002,1
401190110011003,1
401190110011004,1
401190110011005,1
401190110011006,1
401190110011007,1
401190110011008,1
401190110011009,1
401190110011010,1
401190110011011,1
401190110011012,1
401190110011013,1
401190110011014,1
401190110011015,1
401190110011016,1
401190110011017,1
401190110011018,1
401190110011019,1
401190110011020,1
401190110011021,1
401190110011022,1
401190110011023,1
401190110011024,1
401190110011025,1
401190110011026,1
401190110011027,1
401190110011028,1
401190110011029,1
401190110011030,1
401190110011031,1
401190110011032,1
401190110011033,1
401190110011034,1
401190110011035,1
401190110011036,1
401190110011037,1
401190110011038,1
401190110011039,1
401190110011040,1
401190110011041,1
401190110011042,1
401190110011043,1
401190110011044,1
401190110011045,1
401190110011046,1
401190110011047,1
401190110011048,1
401190110011049,1
401190110011050,1
401190110011051,1
401190110011052,1
401190110011053,1
401190110011054,1
401190110011055,1
401190110011056,1
401190110011057,1
401190110011058,1
401190110011059,1
401190110011060,1
401190110011061,1
401190110011062,1
401190110011063,1
401190110011064,1
401190110011065,1
401190110011066,1
401190110011067,1
401190110011068,1
401190110011069,1
401190110011070,1
401190110011071,1
401190110011072,1
401190110011073,1
401190110011074,1
401190110011075,1
401190110011076,1
401190110011077,1
401190110011078,1
401190110011079,1
401190110011080,1
401190110011081,1
401190110011082,1
401190110011083,1
401190110011084,1
401190110011085,1
401190110011086,1
401190110011087,1
401190110011088,1
401190110011089,1
401190110011090,1
401190110011091,1
401190110011092,1
401190110011093,1
401190110011094,1
401190110011095,1
401190110011096,1
401190110011097,1
401190110011119,1
401190113013013,1
401190113014000,1
401190113014001,1
401190113014002,1
401190113014003,1
401190113014004,1
401190113014005,1
401190113014006,1
401190113014007,1
401190113014008,1
401190113014009,1
401190113014010,1
401190113014011,1
401190113014012,1
401190113014018,1
401190113014019,1
401190113014020,1
401190113014021,1
401190113014022,1
401190113014023,1
401190113014024,1
401190113014025,1
401190113014026,1
401190113014027,1
401190113014028,1
401190113014029,1
401190113014030,1
401190113014031,1
401190113014032,1
401190113014033,1
401190113014041,1
401190113014042,1
401190113014043,1
401190113014044,1
401190113014045,1
401190113014046,1
401190113014047,1
401190113014048,1
401190113014049,1
401190113014050,1
401190113014051,1
401190113014052,1
401190113014053,1
401190113014054,1
401190113014061,1
401190113014062,1
401190113014063,1
401190113014064,1
401190113014065,1
401190113014066,1
401190113014067,1
401190113014068,1
401190113014069,1
401190113014070,1
401190113014071,1
401190113014072,1
401190113014075,1
401190113014076,1
401190113014077,1
401190113014078,1
401190113014079,1
401190113014080,1
401190113014081,1
401190113014082,1
401190113014083,1
401190113014084,1
401190113014085,1
401190113014087,1
401190113014088,1
401190113014089,1
401190113021000,1
401190113021001,1
401190113021004,1
401190113021005,1
401190113021006,1
401190113021007,1
401190113021023,1
401190113022000,1
401190113022001,1
401190113022006,1
401190113022007,1
401190113022008,1
401190113022009,1
401190113022014,1
401190113022015,1
401190113022016,1
401190113022017,1
401190113022018,1
401190113022019,1
401190113022020,1
401190113022021,1
401190113022022,1
401190113022027,1
401190113022028,1
401190113022029,1
401190113022030,1
401190113022039,1
401190113022040,1
401190113023000,1
401190113023001,1
401190113023002,1
401190113023003,1
401190113023004,1
401190113023005,1
401190113023006,1
401190113023007,1
401190113023008,1
401190113023009,1
401190113023010,1
401190113023011,1
401190113023012,1
401190113023013,1
401190113023014,1
401190113023015,1
401190113023016,1
401190113023017,1
401190113023018,1
401190113023019,1
401190113023020,1
401190113023021,1
401190113023022,1
401190113023023,1
401190113023024,1
401190113023025,1
401190113023026,1
401190113023027,1
401190113023028,1
401190113023029,1
401190113023030,1
401190113023031,1
401190113023032,1
401190113023033,1
401190113023035,1
401190113023067,1
401190113023068,1
401190113023069,1
401190111041000,1
401190111041001,1
401190111041014,1
401190113013014,1
401190113013015,1
401190113013016,1
401190113013017,1
401190113013018,1
401190113013019,1
401190113013020,1
401190113013021,1
401190113013022,1
401190113013023,1
401190113013024,1
401190113013025,1
401190113013026,1
401190113013027,1
401190113013028,1
401190113013029,1
401190113013030,1
401190113014013,1
401190113014014,1
401190113014015,1
401190113014016,1
401190113014017,1
401190113014034,1
401190113014035,1
401190113014036,1
401190113014037,1
401190113014038,1
401190113014039,1
401190113014040,1
401190113014055,1
401190113014056,1
401190113014057,1
401190113014058,1
401190113014059,1
401190113014060,1
401190113014073,1
401190113014074,1
401190113014086,1
401190113021002,1
401190113021003,1
401190113021019,1
401190113021020,1
401190113021024,1
401190113021025,1
401190113022002,1
401190113022003,1
401190113022004,1
401190113022005,1
401190113022010,1
401190113022011,1
401190113022012,1
401190113022013,1
401190113022023,1
401190113022024,1
401190114001066,1
401190114001067,1
401190114001068,1
401190114001069,1
401190114001070,1
401190114001071,1
401190114001073,1
401190114001074,1
401190114001075,1
401190114001076,1
401190114001077,1
401190114001079,1
401190114001080,1
401190114001081,1
401190114002024,1
401190114002025,1
401190114002026,1
401190114002027,1
401190114002029,1
401190114002030,1
401190114002031,1
401190114002032,1
401190114002033,1
401190114002035,1
401190114002036,1
401190114002037,1
401190114002038,1
401190114002039,1
401190114002040,1
401190114002041,1
401190114002042,1
401190114002043,1
401190114002044,1
401190114002045,1
401190114002046,1
401190114002047,1
401190114002048,1
401190114002049,1
401190114002050,1
401190114002051,1
401190114002052,1
401190114002053,1
401190114002054,1
401190114002055,1
401190114002056,1
401190114002057,1
401190114002058,1
401190114002059,1
401190114002060,1
401190114002061,1
401190114002063,1
401190114002064,1
401190114002065,1
401190114002066,1
401190114002067,1
401190114002068,1
401190114002069,1
401190114002070,1
401190114002071,1
401190114002072,1
401190114002073,1
401190114002075,1
401190114002076,1
401190114002077,1
401190114002078,1
401190114002079,1
401190114002080,1
401190114003004,1
401190114003005,1
401190114003006,1
401190114003007,1
401190114003008,1
401190114003009,1
401190114003010,1
401190114003011,1
401190114003012,1
401190114003013,1
401190114003014,1
401190114003015,1
401190114003016,1
401190114003017,1
401190114003018,1
401190114003019,1
401190114003020,1
401190114003021,1
401190114003022,1
401190114003023,1
401190114003024,1
401190114003025,1
401190114003026,1
401190114003027,1
401190114003028,1
401190114003029,1
401190114003030,1
401190114003031,1
401190114003032,1
401190114003033,1
401190114003034,1
401190114003035,1
401190114003036,1
401190114003037,1
401190114003038,1
401190114003039,1
401190114003040,1
401190114003041,1
401190114003042,1
401190114003043,1
401190114003044,1
401190114003045,1
401190114003046,1
401190114003047,1
401190114003048,1
401190114003049,1
401190114003050,1
401190114003051,1
401190114003052,1
401190114003053,1
401190114003054,1
401190114003055,1
401190114003056,1
401190114003057,1
401190114003058,1
401190114003059,1
401190114003060,1
401190114003061,1
401190114003062,1
401190114003063,1
401190114003064,1
401190114003065,1
401190114003066,1
401190114003067,1
401190114003068,1
401190114003069,1
401190114003070,1
401190114003071,1
401190114003072,1
401190114003073,1
401190114003074,1
401190114003075,1
401190114003076,1
401190114003077,1
401190114003078,1
401190114003079,1
401190114003080,1
401190114003081,1
401190114003082,1
401190114003083,1
401190114003084,1
401190114003085,1
401190114003086,1
401190114003087,1
401190114003088,1
401190114003089,1
401190114003090,1
401190114003091,1
401190114003092,1
401190114003093,1
401190114003094,1
401190114003095,1
401190114003096,1
401190114003097,1
401190114003098,1
401190114003099,1
401190114003100,1
401190114003101,1
401190114003102,1
401190114003103,1
401190114003104,1
401190114003105,1
401190114003106,1
401190114003107,1
401190114003108,1
401190114003109,1
401190114003110,1
401190114003111,1
401190114003112,1
401190114003113,1
401190114003114,1
401190114003115,1
401190114003116,1
401190114003117,1
401190114003118,1
401190114003119,1
401190114003120,1
401190114003121,1
401190114003122,1
401190114003123,1
401190114003124,1
401190114003125,1
401190114003126,1
401190114003127,1
401190114003128,1
401190114003129,1
401190114003130,1
401190114004000,1
401190114004001,1
401190114004002,1
401190114004003,1
401190114004004,1
401190114004005,1
401190114004006,1
401190114004007,1
401190114004008,1
401190114004009,1
401190114004010,1
401190114004012,1
401190114004013,1
401190114004019,1
401190114004020,1
401190114004042,1
401190114004061,1
401190114004062,1
401190114004063,1
401190114004064,1
401190114004066,1
401190103001034,1
401190103001035,1
401190103001036,1
401190103001037,1
401190103001038,1
401190103001039,1
401190103001040,1
401190103001041,1
401190103001042,1
401190103001043,1
401190103001044,1
401190103001045,1
401190103001046,1
401190103001047,1
401190103001048,1
401190103001049,1
401190103001052,1
401190103002002,1
401190103002003,1
401190103002004,1
401190103002007,1
401190103002008,1
401190103002017,1
401190103002018,1
401190103002019,1
401190103002020,1
401190103002021,1
401190103002022,1
401190103002024,1
401190103002025,1
401190103002026,1
401190113011001,1
401190113011002,1
401190113011003,1
401190113011004,1
401190113011012,1
401190113011013,1
401190113011014,1
401190113011017,1
401190113011018,1
401190113011021,1
401190113011022,1
401190113011023,1
401190113011024,1
401190113011025,1
401190113011026,1
401190113011027,1
401190113011028,1
401190113011029,1
401190113011030,1
401190113011031,1
401190113011032,1
401190113011033,1
401190113011034,1
401190113011035,1
401190113011036,1
401190113011037,1
401190113011038,1
